Epoch,Training Loss,Validation Loss
1,0.8387360568679945,0.018397978181398014
2,0.008975675251797722,0.002843548221952789
3,0.0038185920311439624,0.0015483281974552003
4,0.0028496362894153233,0.0006010421396543583
5,0.0025630315420523196,0.0003538223991939056
6,0.002307200744722509,0.00026089547091254553
7,0.002181074353595987,0.00016732504286110493
8,0.0022134366468360453,0.00038088375500903076
9,0.0021891656955197888,0.00011477666975394633
10,0.0021964300685054093,9.358266751353849e-05
11,0.002184460297276815,9.36492603902546e-05
12,0.0020592425653765257,0.00010656835868617717
13,0.002103238514767803,0.002762309199377016
14,0.0018818706554757116,0.00012187101479290372
15,0.0022595795600230725,0.00016952797750861013
