Epoch,Training Loss,Validation Loss
1,0.03255679059106655,0.0016587815342789664
2,0.0018684604070328052,0.0003108006736425808
3,0.0009836800770696005,0.0002972206278482301
4,0.0009714800262349402,0.00047661818138472446
5,0.0005625109824830732,0.00015923109485755868
6,0.0005760611233063242,0.003688044513121704
7,0.0006511214925689281,7.104168459300349e-05
8,0.00021017821914059046,0.0005883091645613818
9,0.00033794185315430596,0.00444313808834161
10,0.000390103399179627,0.00014179199539621234
11,0.0003719716343840056,0.00016808559457633215
12,0.00026291297981183916,6.953512481010529e-05
