Epoch,Training Loss,Validation Loss
1,0.36204158273466736,0.17532690899158881
2,0.13508263677965598,0.09550492368577941
3,0.08807012502506163,0.06903133156701802
4,0.06539640470944694,0.05008169196970094
5,0.0485425289576141,0.035353154458893025
6,0.035531076035498356,0.024471299374491218
7,0.025362990060612527,0.016680165830000145
8,0.0179643382691985,0.010502642876188444
9,0.012572580858374625,0.007195926101015109
10,0.008853515884184607,0.005138656448164001
11,0.0063645272338364554,0.003426917279669182
12,0.004672275335943353,0.002538535338864336
13,0.003587564378559529,0.0019338805904248503
14,0.0026960195539625412,0.001564571062269492
15,0.0021265139287601313,0.0012249169886354508
16,0.0017304814119762579,0.0009498164721204316
17,0.0014011566824746334,0.0010404904773818496
18,0.0010771575350529664,0.0006795274533853843
19,0.0008894919850266029,0.0005591837055148269
20,0.0007543845912237707,0.00041992614131867583
21,0.0006815122897227441,0.0004436299605891336
22,0.0008388444536025096,0.00040992459389229676
23,0.0004168951664240405,0.0002791040428635869
24,0.00039066717632270425,0.00028636684335770114
25,0.00034307345582927195,0.00026018634792019773
26,0.0002984520554374913,0.00023376868471760697
27,0.0004118256140451702,0.0001866104170832427
28,0.00030473075582325274,0.0001841519220258446
29,0.0002263337951216348,0.00019453247908287022
30,0.0004077465550548657,0.0002233621901730776
31,0.00015266638398175213,0.00017146185937013886
32,0.00060121905354373,0.00017438792911423484
33,0.00016763868765904788,0.00010440786656279048
34,0.00022824696295717096,0.00014873272446833637
35,0.00014450709632797738,0.00011570548545060456
36,0.00011753736091341421,0.00012946614105743262
37,0.00010692022702593974,8.987097152850942e-05
38,0.00010357246259160415,7.727573490517055e-05
39,9.701430828903532e-05,0.00010214958514020177
40,0.00010749074775098952,0.00016144254671720168
