Epoch,Training Loss,Validation Loss
1,0.18819964795446043,0.05892535557025805
2,0.04177579837046233,0.01652506235873141
3,0.014836983186511483,0.0053078212690882975
4,0.005631990159727815,0.0018713241969396468
5,0.0024548804807518966,0.0008676866962822902
6,0.0012710774975893179,0.00047187728282394243
7,0.0007073203421688546,0.000313174097062337
8,0.00045809235831806083,0.00018734288786119703
9,0.0003085365828988742,0.00017620737919963984
10,0.00024199059075803362,8.091893940036614e-05
11,0.00017144164197202221,7.748452160058613e-05
12,0.00014850142708613885,8.818259059172692e-05
13,0.00012593684483879842,0.00010241772894883412
14,0.00015144019504125967,6.663145631490808e-05
15,8.484439088388524e-05,0.0001161659376313668
16,5.1036867044637175e-05,8.961529601113855e-05
17,9.058812904491372e-05,8.420030681490545e-05
18,9.669827485178357e-05,0.00012176860347938169
