Epoch,Training Loss,Validation Loss
1,0.5837443533951674,0.42831294767318234
2,0.34061678892713254,0.25907033105050364
3,0.2242059403560995,0.187176471275668
4,0.16872715198896765,0.14619793406417292
5,0.13622460141777992,0.12004820341544767
6,0.11484295114632545,0.10137004140884645
7,0.09901677553610104,0.08940834287674196
8,0.08657646354863315,0.07731692168501116
9,0.07549828908792357,0.06690622427530828
10,0.06560617237071681,0.05733396707763595
11,0.05666634911383555,0.04849888630692036
12,0.048836148230404386,0.04213867564835856
13,0.04210620877764574,0.03554565171080251
14,0.0365243137215938,0.03051216035119949
15,0.0318331760467916,0.026455131119057056
16,0.027620886815939008,0.022255603374252395
17,0.02411673486808209,0.019396756024610613
18,0.020864359958748507,0.01706183773856009
19,0.01848709056668771,0.014569330660085525
20,0.015958234330836107,0.012646627537305317
21,0.014063332422931746,0.010276210584467458
22,0.012331499790061054,0.009620726679361636
23,0.010897005291095352,0.008703834865422498
24,0.009552220772285529,0.007566494754545631
25,0.008490998316859084,0.006591092659941604
26,0.007591338247075919,0.005946791753353131
27,0.0066866505913799855,0.00521066491191666
28,0.00599242656347834,0.0048708199268026695
29,0.005434656917019103,0.004206335656495104
30,0.004824305101812673,0.0038425407537649716
31,0.004297087620186612,0.003383088083336911
32,0.003935282598476766,0.0030245959886439867
33,0.003663774177515349,0.0029649898192034133
34,0.0032102562973608936,0.00259787266352965
35,0.002875860117004836,0.002252060251550809
36,0.00257403929850344,0.002089056997529922
37,0.0026363423075224084,0.0019277572226259977
38,0.0021751553314260956,0.0016850600293236634
39,0.00209852740711843,0.0015559830334818652
40,0.0017956863711133782,0.0014842954227670788
